city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Novopokrovskaya,45.9514,40.7006,Russia,RU,Krasnodarskiy Kray,minor,,
Vesëlyy,47.0934,40.7422,Russia,RU,Rostovskaya Oblast’,minor,,
Mostovskoy,44.4122,40.7936,Russia,RU,Krasnodarskiy Kray,minor,,
Bol’shaya Martynovka,47.2742,41.6668,Russia,RU,Rostovskaya Oblast’,minor,,
Roven’ki,49.9223,38.8914,Russia,RU,Belgorodskaya Oblast’,minor,,
Kuybyshevo,47.8123,38.9073,Russia,RU,Rostovskaya Oblast’,minor,,
Peschanokopskoye,46.1952,41.0814,Russia,RU,Rostovskaya Oblast’,minor,,
Igra,57.5549,53.0544,Russia,RU,Udmurtiya,minor,,
Kantemirovka,49.7089,39.8592,Russia,RU,Voronezhskaya Oblast’,minor,,
Tul’skiy,44.5136,40.1789,Russia,RU,Adygeya,minor,,
Tselina,46.5338,41.0328,Russia,RU,Rostovskaya Oblast’,minor,,
Vorob’yëvka,50.6481,40.9503,Russia,RU,Voronezhskaya Oblast’,minor,,
Rodionovo-Nesvetayskaya,47.6103,39.7121,Russia,RU,Rostovskaya Oblast’,minor,,
Kashkhatau,43.3169,43.6077,Russia,RU,Kabardino-Balkariya,minor,,
Balezino,57.9787,53.0138,Russia,RU,Udmurtiya,minor,,
Chertkovo,49.3845,40.1472,Russia,RU,Rostovskaya Oblast’,minor,,
Chikola,43.1952,43.9202,Russia,RU,North Ossetia,minor,,
Sovetskoye,46.7219,42.1464,Russia,RU,Rostovskaya Oblast’,minor,,
Debesy,57.6515,53.8089,Russia,RU,Udmurtiya,minor,,
Veshenskaya,49.6352,41.7245,Russia,RU,Rostovskaya Oblast’,minor,,
Tarasovskiy,48.7273,40.3627,Russia,RU,Rostovskaya Oblast’,minor,,
Kez,57.8957,53.7132,Russia,RU,Udmurtiya,minor,,
Oblivskaya,48.5362,42.5014,Russia,RU,Rostovskaya Oblast’,minor,,
Zvony,56.6241,28.8160,Russia,RU,Pskovskaya Oblast’,minor,,
Bolgatovo,56.8031,28.9488,Russia,RU,Pskovskaya Oblast’,minor,,
Varygino,56.7627,28.5350,Russia,RU,Pskovskaya Oblast’,minor,,
Petrovskoye,56.6975,28.6450,Russia,RU,Pskovskaya Oblast’,minor,,
Matyushkino,56.8632,28.6251,Russia,RU,Pskovskaya Oblast’,minor,,
Makushino,56.6880,28.4721,Russia,RU,Pskovskaya Oblast’,minor,,
Norkino,56.6682,29.0286,Russia,RU,Pskovskaya Oblast’,minor,,
Glubokoye,56.6089,29.0207,Russia,RU,Pskovskaya Oblast’,minor,,
Laptëvo,56.7426,28.8344,Russia,RU,Pskovskaya Oblast’,minor,,
Vel’ye,56.9701,28.5788,Russia,RU,Pskovskaya Oblast’,minor,,
Polyane,56.8809,28.8849,Russia,RU,Pskovskaya Oblast’,minor,,
Kashary,49.0400,41.0056,Russia,RU,Rostovskaya Oblast’,minor,,
Bokovskaya,49.2290,41.8306,Russia,RU,Rostovskaya Oblast’,minor,,
Kazanskaya,49.7956,41.1395,Russia,RU,Rostovskaya Oblast’,minor,,
Zimovniki,47.1474,42.4721,Russia,RU,Rostovskaya Oblast’,minor,,
Milyutinskaya,48.6279,41.6679,Russia,RU,Rostovskaya Oblast’,minor,,
Osyno,56.1505,28.6758,Russia,RU,Pskovskaya Oblast’,minor,,
Glembochino,56.1876,28.3785,Russia,RU,Pskovskaya Oblast’,minor,,
Mostishche,56.2912,28.7642,Russia,RU,Pskovskaya Oblast’,minor,,
Idritsa,56.3316,28.8988,Russia,RU,Pskovskaya Oblast’,minor,,
Cherneya,56.2497,28.5426,Russia,RU,Pskovskaya Oblast’,minor,,
Dedino,56.2446,28.2506,Russia,RU,Pskovskaya Oblast’,minor,,
Dubrovka,56.3910,28.6385,Russia,RU,Pskovskaya Oblast’,minor,,
Tomsino,56.4520,28.5392,Russia,RU,Pskovskaya Oblast’,minor,,
Dubovskoye,47.4142,42.7697,Russia,RU,Rostovskaya Oblast’,minor,,
Lukino,56.8593,28.4643,Russia,RU,Pskovskaya Oblast’,minor,,
Kresty,56.7760,28.0908,Russia,RU,Pskovskaya Oblast’,minor,,
Il’inskoye,56.9236,28.5250,Russia,RU,Pskovskaya Oblast’,minor,,
Krasnogorodsk,56.8357,28.2822,Russia,RU,Pskovskaya Oblast’,minor,,
Blyasino,56.9457,28.3062,Russia,RU,Pskovskaya Oblast’,minor,,
Pokrovskoye,56.6897,28.2548,Russia,RU,Pskovskaya Oblast’,minor,,
Remontnoye,46.5614,43.6501,Russia,RU,Rostovskaya Oblast’,minor,,
Uni,57.7510,51.4913,Russia,RU,Kirovskaya Oblast’,minor,,
Zavetnoye,47.1194,43.8903,Russia,RU,Rostovskaya Oblast’,minor,,
Sebezhskiy Rayon,56.2500,28.5000,Russia,RU,Pskovskaya Oblast’,minor,,
